id,latitude,longitude,lap,navigation,vehicle_id,sample,datetime
13911376,-13.551356,-71.9881636,2,286,SJ20,1060,2023-03-05 09:13:13
13911410,-13.5513014,-71.9889988,2,304,SJ20,1060,2023-03-05 09:13:35
13911431,-13.5513187,-71.9898297,2,233,SJ20,1060,2023-03-05 09:13:47
13911459,-13.5518215,-71.990522,2,232,SJ20,1060,2023-03-05 09:14:02
13911485,-13.5521259,-71.9911769,2,278,SJ20,1060,2023-03-05 09:14:19
13911533,-13.5516871,-71.9908914,2,54,SJ20,1060,2023-03-05 09:14:43
13911549,-13.5512241,-71.9900366,2,57,SJ20,1060,2023-03-05 09:14:56
13911576,-13.5507318,-71.9892433,2,55,SJ20,1060,2023-03-05 09:15:14
13911600,-13.5503028,-71.9887445,2,46,SJ20,1060,2023-03-05 09:15:26
13911622,-13.5497739,-71.9881164,2,48,SJ20,1060,2023-03-05 09:15:38
13911647,-13.5491665,-71.9874802,2,42,SJ20,1060,2023-03-05 09:15:50
13911668,-13.5486964,-71.9867096,2,62,SJ20,1060,2023-03-05 09:16:02
13911713,-13.5482727,-71.986079,2,53,SJ20,1060,2023-03-05 09:16:21
13911809,-13.547731,-71.9854417,2,47,SJ20,1060,2023-03-05 09:16:33
13911920,-13.5470802,-71.9849431,2,31,SJ20,1060,2023-03-05 09:16:45
13912035,-13.5463754,-71.9844804,2,35,SJ20,1060,2023-03-05 09:16:58
13912190,-13.5458495,-71.9840255,2,42,SJ20,1060,2023-03-05 09:17:19
13912211,-13.5452855,-71.9835169,2,43,SJ20,1060,2023-03-05 09:17:31
13912230,-13.5447529,-71.9828896,2,67,SJ20,1060,2023-03-05 09:17:43
13912249,-13.545111,-71.9821278,2,111,SJ20,1060,2023-03-05 09:17:55
13912269,-13.544641,-71.9819408,2,8,SJ20,1060,2023-03-05 09:18:08
13912347,-13.5439722,-71.9821471,2,341,SJ20,1060,2023-03-05 09:18:58
13912384,-13.5433434,-71.9821113,2,33,SJ20,1060,2023-03-05 09:19:21
13912434,-13.5427018,-71.9818813,2,344,SJ20,1060,2023-03-05 09:19:52
13912504,-13.5420892,-71.9822081,2,22,SJ20,1060,2023-03-05 09:20:43
13912525,-13.5415038,-71.9818291,2,34,SJ20,1060,2023-03-05 09:20:58
13912548,-13.5409735,-71.9814337,2,30,SJ20,1060,2023-03-05 09:21:10
13912573,-13.5402843,-71.981281,2,14,SJ20,1060,2023-03-05 09:21:29
13912611,-13.5396204,-71.9810877,2,18,SJ20,1060,2023-03-05 09:21:54
13912634,-13.5389205,-71.9808634,2,20,SJ20,1060,2023-03-05 09:22:06
13912655,-13.5381444,-71.980464,2,26,SJ20,1060,2023-03-05 09:22:18
13912675,-13.537503,-71.9801351,2,25,SJ20,1060,2023-03-05 09:22:30
13912692,-13.5369304,-71.979931,2,352,SJ20,1060,2023-03-05 09:22:42
13912763,-13.5363368,-71.9801515,2,332,SJ20,1060,2023-03-05 09:23:38
13912823,-13.5356888,-71.9803266,2,357,SJ20,1060,2023-03-05 09:24:20
13912856,-13.5350427,-71.9806247,2,330,SJ20,1060,2023-03-05 09:24:39
13912873,-13.5343397,-71.9806996,2,5,SJ20,1060,2023-03-05 09:24:54
13912897,-13.5334892,-71.9805822,2,9,SJ20,1060,2023-03-05 09:25:06
13912916,-13.53269,-71.9802358,2,25,SJ20,1060,2023-03-05 09:25:18
13912960,-13.5319705,-71.9800565,2,12,SJ20,1060,2023-03-05 09:25:45
13912975,-13.5311659,-71.9798406,2,14,SJ20,1060,2023-03-05 09:25:57
13913136,-13.530317,-71.9796044,2,8,SJ20,1060,2023-03-05 09:26:10
13913138,-13.5303242,-71.9802707,2,262,SJ20,1060,2023-03-05 09:26:50
13913130,-13.5304972,-71.9810275,2,255,SJ20,1060,2023-03-05 09:27:09
13913108,-13.5306448,-71.9817139,2,259,SJ20,1060,2023-03-05 09:27:21
13913161,-13.5305264,-71.9828723,2,342,SJ20,1060,2023-03-05 09:28:06
13913179,-13.5298934,-71.9830505,2,345,SJ20,1060,2023-03-05 09:28:21
13913218,-13.5291661,-71.9832502,2,347,SJ20,1060,2023-03-05 09:28:51
13913257,-13.5285658,-71.98356,2,303,SJ20,1060,2023-03-05 09:29:16
13913293,-13.528049,-71.9836973,2,83,SJ20,1060,2023-03-05 09:29:41
13913317,-13.5280433,-71.9829785,2,79,SJ20,1060,2023-03-05 09:29:55
13913347,-13.5277106,-71.9823423,2,15,SJ20,1060,2023-03-05 09:30:13
13913377,-13.5273725,-71.9829314,2,288,SJ20,1060,2023-03-05 09:30:31
13913417,-13.5270562,-71.9836893,2,341,SJ20,1060,2023-03-05 09:30:55
13913446,-13.5264294,-71.9834513,2,20,SJ20,1060,2023-03-05 09:31:11
13913480,-13.5257396,-71.9832072,2,20,SJ20,1060,2023-03-05 09:31:27
13913578,-13.5250478,-71.9833003,2,286,SJ20,1060,2023-03-05 09:32:32
13913665,-13.5244806,-71.9832674,2,21,SJ20,1060,2023-03-05 09:33:21
13913686,-13.5238471,-71.9830632,2,14,SJ20,1060,2023-03-05 09:33:33
13913712,-13.5231506,-71.982886,2,19,SJ20,1060,2023-03-05 09:33:48
13913865,-13.5226819,-71.9823951,2,44,SJ20,1060,2023-03-05 09:35:29
13913940,-13.5225533,-71.9817649,2,118,SJ20,1060,2023-03-05 09:36:16
13914029,-13.5228102,-71.9811906,2,112,SJ20,1060,2023-03-05 09:37:06
13914070,-13.5231577,-71.9804466,2,114,SJ20,1060,2023-03-05 09:37:30
13914123,-13.5235045,-71.9797623,2,115,SJ20,1060,2023-03-05 09:37:56
13914145,-13.5237862,-71.9791289,2,115,SJ20,1060,2023-03-05 09:38:09
13914167,-13.5240559,-71.9785157,2,114,SJ20,1060,2023-03-05 09:38:21
