number,id,name,navigation,latitude,longitude,radio
0,0,inicio,159,-13.5549784,-71.856025,30
1,36,primer stop,304,-13.5548123,-71.8573001,18
2,37,segundo stop,281,-13.5532944,-71.8619442,13
3,38,Ccollana,283,-13.552296,-71.867299,9
4,39,Puente Huaccoto,283,-13.551592,-71.870211,10
5,40,Kayra,289,-13.5506192,-71.8739628,10
6,41,Forestal,286,-13.55002,-71.876104,8
7,42,Grifo Tapia,284,-13.5492585,-71.8786423,11
8,43,Posta,283,-13.5488597,-71.8800307,15
9,44,Romeritos,284,-13.548657,-71.880933,7
10,45,Tercero,286,-13.5480927,-71.882989,7
11,46,Medio,286,-13.5477861,-71.884096,7
12,47,Farmacia,285,-13.5470041,-71.8870276,7
13,48,Mercado Vinocanchón,287,-13.5442697,-71.8879486,15
14,49,Control,289,-13.5464137,-71.8892045,14
15,50,San Juan,284,-13.5458289,-71.8912293,10
16,51,Penal Quencoro,298,-13.5450002,-71.8941424,20
17,52,Miraflores,304,-13.5441901,-71.8958416,11
18,53,San Martín,305,-13.54278,-71.897931,7
19,54,Maestro,305,-13.5417514,-71.899292,10
20,55,Tingo,305,-13.5404823,-71.9010634,10
21,56,Teléfono,306,-13.5392748,-71.9027266,12
22,57,Universidad Andina,304,-13.5379256,-71.9046391,25
23,58,Grifo,304,-13.5369807,-71.9060883,10
24,59,Puente Tupac Amarú,304,-13.5363072,-71.9071359,10
25,60,Cachimayo,303,-13.5351731,-71.9088457,10
26,61,Enaco,303,-13.5334897,-71.9114518,13
27,62,Sol de oro,290,-13.5318459,-71.9140088,10
28,63,San Miguel,257,-13.5315133,-71.9161418,13
29,64,Mercadillo,258,-13.5322695,-71.9194658,10
30,65,Santa Rosa,258,-13.5324745,-71.9206404,10
31,66,Camionero,265,-13.5327639,-71.9223518,11
32,67,Séptimo,283,-13.532034,-71.9255653,13
33,68,Sexto,285,-13.5315821,-71.927145,10
34,69,Quinto,285,-13.5308491,-71.9297875,10
35,70,Cuarto,285,-13.5301642,-71.9321492,16
36,71,Tercero,285,-13.5294454,-71.9346703,12
37,72,Segundo,283,-13.529132,-71.9358375,12
38,73,Callejon,283,-13.5284625,-71.9381347,12
39,74,Primero,288,-13.5279965,-71.9398556,15
40,75,Santa Úrsula,275,-13.527612,-71.942894,16
41,76,Marcavalle,277,-13.5272735,-71.9456249,16
42,77,Magisterio,288,-13.5266272,-71.9482608,15
43,78,Seminario,288,-13.5258572,-71.9507565,20
44,79,Prado,288,-13.5252024,-71.952992,20
45,80,Hospital regional,286,-13.5242673,-71.9559926,20
46,81,Puerta Universidad UNSAAC,290,-13.5233344,-71.9591304,25
47,82,Amauta,285,-13.5220874,-71.9632998,15
48,83,Servicentro,285,-13.5216491,-71.9646561,13
49,84,Colegio Garcilaso,289,-13.5211993,-71.9662773,20
50,85,Colegio Clorinda,281,-13.5202914,-71.9700745,15
